seed,goal_reached,path_length,nodes,loops,time
46014,1,29,180,180,0.000186920166015625
46015,1,29,180,180,0.00017952919006347656
46016,1,29,179,179,0.00018072128295898438
46017,1,29,180,180,0.0001800060272216797
46018,1,29,178,177,0.0001785755157470703
46020,1,29,180,179,0.00018024444580078125
46021,1,29,179,175,0.00017642974853515625
46022,1,29,177,177,0.0001926422119140625
46023,1,29,180,180,0.00018739700317382812
46024,1,29,178,178,0.00018930435180664062
46025,1,29,180,180,0.00019049644470214844
46026,1,29,179,179,0.00018286705017089844
46027,1,29,178,178,0.00018072128295898438
46028,1,29,180,180,0.00018286705017089844
46029,1,29,180,180,0.0001900196075439453
46030,1,29,180,180,0.0001819133758544922
46031,1,29,179,179,0.0001842975616455078
46032,1,29,167,163,0.000164031982421875
46033,1,29,179,179,0.00018739700317382812
46034,1,29,178,178,0.000186920166015625
46035,1,29,177,177,0.00017881393432617188
46036,1,29,180,180,0.00018930435180664062
46037,1,29,179,179,0.00018167495727539062
46038,1,29,179,179,0.0001785755157470703
46039,1,29,180,180,0.00018167495727539062
46040,1,29,179,179,0.00018143653869628906
46041,1,29,177,177,0.00018095970153808594
46042,1,29,178,178,0.00018024444580078125
46043,1,29,180,180,0.00019073486328125
46044,1,29,179,179,0.00018334388732910156
46045,1,29,174,172,0.00017714500427246094
46048,1,29,180,180,0.0001926422119140625
46049,1,29,179,179,0.0001819133758544922
46051,1,29,179,178,0.00017952919006347656
46052,1,29,178,178,0.000179290771484375
46053,1,29,176,175,0.00017833709716796875
46055,1,29,180,180,0.00018095970153808594
46056,1,29,179,178,0.00019025802612304688
46057,1,29,179,179,0.00018215179443359375
46058,1,29,179,179,0.00018072128295898438
46059,1,29,179,178,0.00017905235290527344
46060,1,29,171,171,0.00018262863159179688
46061,1,29,179,179,0.00018143653869628906
46062,1,29,179,179,0.00018095970153808594
46063,1,29,178,178,0.00017881393432617188
46064,1,29,179,179,0.00018143653869628906
46065,1,29,179,179,0.00018215179443359375
46066,1,29,173,173,0.0001785755157470703
46067,1,29,180,180,0.0001838207244873047
46068,1,29,175,175,0.00017833709716796875
46070,1,29,179,179,0.0001800060272216797
46071,1,29,179,179,0.0001876354217529297
46072,1,29,180,180,0.00018334388732910156
46073,1,29,178,178,0.000179290771484375
46074,1,29,180,180,0.00018262863159179688
46075,1,29,180,180,0.00021910667419433594
46076,1,29,180,180,0.00018405914306640625
46077,1,29,178,178,0.0001811981201171875
46078,1,29,177,177,0.00017762184143066406
46079,1,29,179,177,0.00017905235290527344
46080,1,29,178,178,0.00017905235290527344
46082,1,29,180,180,0.00017952919006347656
46083,1,29,176,176,0.00018143653869628906
46084,1,29,180,180,0.00018405914306640625
46085,1,29,180,180,0.0001804828643798828
46086,1,29,180,180,0.00018167495727539062
46087,1,29,179,179,0.0001800060272216797
46089,1,29,180,180,0.00018262863159179688
46090,1,29,180,180,0.00018453598022460938
46091,1,29,180,180,0.00018739700317382812
46092,1,29,175,175,0.0001766681671142578
46093,1,29,180,180,0.00018095970153808594
46094,1,29,180,180,0.00018095970153808594
46095,1,29,178,177,0.00018453598022460938
46097,1,29,180,180,0.00018167495727539062
46098,1,29,177,177,0.00017833709716796875
46099,1,29,173,173,0.00017404556274414062
46100,1,29,180,180,0.0001819133758544922
46101,1,29,174,174,0.00017762184143066406
46102,1,29,179,179,0.00018286705017089844
46103,1,29,180,180,0.00018835067749023438
46104,1,29,179,179,0.00018358230590820312
46107,1,29,175,175,0.0001780986785888672
46108,1,29,180,180,0.0001881122589111328
46109,1,29,179,179,0.00018143653869628906
46110,1,29,180,180,0.00018262863159179688
46111,1,29,180,180,0.00018167495727539062
46112,1,29,180,180,0.0001819133758544922
46113,1,29,180,180,0.00018358230590820312
46114,1,29,178,176,0.0001804828643798828
